Method,Name,Error,Occurrences
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2578 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2578)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3379 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3379)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2848 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2848)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2228 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2228)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2689 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2689)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 4810 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=4810)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2117 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2117)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3507 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3507)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2609 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2609)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 6925 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=6925)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3376 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3376)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2491 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2491)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2718 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2718)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2114 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2114)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 1886 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=1886)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2432 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2432)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2433 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2433)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2573 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2573)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2882 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2882)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 1974 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=1974)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2307 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2307)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3167 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3167)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2532 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2532)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3937 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3937)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3969 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3969)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 1998 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=1998)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2370 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2370)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2201 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2201)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2165 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2165)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2777 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2777)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3455 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3455)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3605 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3605)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 1904 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=1904)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",2
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2408 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2408)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3030 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3030)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 1858 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=1858)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3420 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3420)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3024 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3024)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2091 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2091)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2847 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2847)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3008 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3008)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",2
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2443 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2443)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 2159 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=2159)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
POST,/v1/completions,"CatchResponseError('Status 400: {""error"":{""message"":""This model\'s maximum context length is 1848 tokens. However, your request has 3029 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=3029)"",""type"":""BadRequestError"",""param"":""input_tokens"",""code"":400}}')",1
